"sanity_id","name","slug","catalog","series","category","size","finish","application","spaces","collection","has_matching_floor","variants","image_filename","image_url","hidden","sort_order","notes"
"y29nl9pwiSAsJMnZQk9p5j","Alcazar","alcazar-300x300","wall-300x450","Alcazar","Ceramic","300×300 mm","Matt","Floor","","","","","ALCAZAR_DB.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/2dee4622d66298b4dca5067a8ec76d51ed2b874d-4913x4913.jpg","FALSE","10",""
"y29nl9pwiSAsJMnZQk9p7e","Angel Dark Floor","angel-dark-300x300","wall-300x450","Angel","Ceramic","300×300 mm","Matt","Floor","","","","","ANGEL_DARK.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/eccce244f0d3d9435cb43199cb733006f705b73c-4945x4945.jpg","FALSE","20",""
"y29nl9pwiSAsJMnZQk9p9Z","Avila Grey Dark Floor","avila-grey-dark-300x300","wall-300x450","Avila Grey","Ceramic","300×300 mm","Matt","Floor","","","","","AVILA GREY DARK.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/97d464b1ffec1e6b86c14aa20216e8f11d189d19-4945x4945.jpg","FALSE","30",""
"y29nl9pwiSAsJMnZQk9pBU","Atlantica","atlantica-300x300","wall-300x450","Atlantica","Ceramic","300×300 mm","Matt","Floor","","","","","Atlantica_DB.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/9939906e7679350ae7fc82fe773c2e9947f2061d-4913x4913.jpg","FALSE","40",""
"y29nl9pwiSAsJMnZQk9pDP","Calendula Venezia","calendula-venezia-300x300","wall-300x450","Calendula Venezia","Ceramic","300×300 mm","Matt","Floor","","","","","CALENDULA VENEZIA_DB_P2.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/d3b5919ace4f2ce9944c9f6763105fa1fd66584d-4913x4913.jpg","FALSE","50",""
"y29nl9pwiSAsJMnZQk9pFK","Classy Beige Floor","classy-beige-300x300","wall-300x450","Classy Beige","Ceramic","300×300 mm","Matt","Floor","","","","","CLASSY BEIGE-DB_300x300.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/fba1df88253bd8eecae3b0c28fc2d978b2b4e799-4913x4913.jpg","FALSE","60",""
"y29nl9pwiSAsJMnZQk9pHF","Crust Grey Dark Floor","crust-grey-dark-300x300","wall-300x450","Crust Grey","Ceramic","300×300 mm","Matt","Floor","","","","","CRUST GREY DARK.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/13bc2e395b0d94b15e40efd65e7b1661732c89f5-4945x4945.jpg","FALSE","70",""
"y29nl9pwiSAsJMnZQk9pJA","Cozy","cozy-300x300","wall-300x450","Cozy","Ceramic","300×300 mm","Matt","Floor","","","","","Cozy.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/6ae5c7dc6b63571067540cf989e8829e0beee73b-4252x4252.jpg","FALSE","80",""
"y29nl9pwiSAsJMnZQk9pL5","Desert Marble Dark Floor","desert-marble-dark-300x300","wall-300x450","Desert Marble","Ceramic","300×300 mm","Matt","Floor","","","","","DESERT MARBLE DARK.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/1cda499792f0077fc3e5f1c89e0ffcbde1b3355d-4945x4945.jpg","FALSE","90",""
"Vz8W9bIBIyovzeXfHVf8IX","Atlantica Light","atlantica-light","wall-300x450","Atlantica","Ceramic","300×450 mm","Glossy","Wall","","","300×300 mm","","Atlantica_LB.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/a7a7c8bf68d92a759008e87568bf838b81392f5e-7326x4913.jpg","FALSE","100",""
"CL6hHBgALd77sJw92sNQn1","Brown Line","brown-line","wall-300x450","Elevation","Ceramic","300×450 mm","Matt","Elevation","","","","","BROWN LINE.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/0768daf656d495f695bd033dfcce02cc3758675f-745x497.jpg","FALSE","100",""
"CL6hHBgALd77sJw92sNSgr","Caliber Gris","caliber-gris","wall-300x450","Elevation","Ceramic","300×450 mm","Matt","Elevation","","","","","Caliber Gris.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/c0c00bfc6aa1ca5181d1f42e033d0aa9d1d99c1e-6378x4252.jpg","FALSE","100",""
"3qlv6bFbke42BrC5R1EVQ1","Caliber Stone","caliber-stone","wall-300x450","Elevation","Ceramic","300×450 mm","Matt","Elevation","","","","","CALIBER STONE.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/02294e6d004d7a176b8635349b2926621472f577-7307x4913.jpg","FALSE","100",""
"3qlv6bFbke42BrC5R1EV5G","Crown","crown","wall-300x450","Elevation","Ceramic","300×450 mm","Matt","Elevation","","","","","Crown.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/4c4bce0ea4c10c2f89c705df240e0433e53d8229-6378x4252.jpg","FALSE","100",""
