"sanity_id","name","slug","catalog","series","category","size","finish","application","collection","has_matching_floor","variants","image_filename","image_url","hidden","sort_order","notes"
"fVupcdHAP7vZ5D6lgPcZbK","Komo Grid","komo-grid","vitrified-400x400","Classic","Vitrified","400×400 mm","Matt","Floor","","","","komo-grid.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/6c79a3e24e4084df26ba3c9c04991ab2dcc57f74-6898x6898.jpg","FALSE","100",""
"fVupcdHAP7vZ5D6lgPcZex","Luxury","luxury","vitrified-400x400","Classic","Vitrified","400×400 mm","Matt","Floor","","","","luxury.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/fbb15980660714cf5ed0d1fc8f23d853e1a5532d-6898x6898.jpg","FALSE","101",""
"fVupcdHAP7vZ5D6lgPcZia","Rubra Strip","rubra-strip","vitrified-400x400","Classic","Vitrified","400×400 mm","Matt","Floor","","","","rubra-strip.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/d29cd12a8bdcd61963610a8781ee870a02e3f69f-6898x6898.jpg","FALSE","102",""
"fVupcdHAP7vZ5D6lgPcZmD","Venezia Oak","venezia-oak","vitrified-400x400","Classic","Vitrified","400×400 mm","Matt","Floor","","","","venezia-oak.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/120e42048bdec4f4509795eb1001f1dfd59ee887-6898x6898.jpg","FALSE","103",""
"fVupcdHAP7vZ5D6lgPcZpq","Elite Dark","elite-dark","vitrified-400x400","Elite","Vitrified","400×400 mm","Matt","Floor","","","","elite-light.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/380476601004b613e938024fa22d556dc2510049-6898x6898.jpg","FALSE","104",""
"fVupcdHAP7vZ5D6lgPcZtT","Elite Light","elite-light","vitrified-400x400","Elite","Vitrified","400×400 mm","Matt","Floor","","","","elite-light.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/380476601004b613e938024fa22d556dc2510049-6898x6898.jpg","FALSE","105",""
"fVupcdHAP7vZ5D6lgPcZx6","Epoque Brown","epoque-brown","vitrified-400x400","Epoque","Vitrified","400×400 mm","Matt","Floor","","","","epoque-brown.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/26ec84dd8935ee9e0cd6db35c05052bf1e18a592-6898x6898.jpg","FALSE","106",""
"fVupcdHAP7vZ5D6lgPca0j","Intex 1009","intex-1009","vitrified-400x400","Intex","Vitrified","400×400 mm","Matt","Floor","","","","intex-1009.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/64ceed041107fa3a785e1ea5395944f6b09f2040-6898x6898.jpg","FALSE","107",""
"fVupcdHAP7vZ5D6lgPca4M","Monarch Decore Coated","monarch-decore-coated","vitrified-400x400","Monarch","Vitrified","400×400 mm","Matt","Floor","","","","monarch-decore-coated.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/1110d9c97928160d8d992e1faff267c30dfec31e-6279x6279.jpg","FALSE","108",""
"fVupcdHAP7vZ5D6lgPca7z","Pedra Cotto","pedra-cotto","vitrified-400x400","Pedra","Stone Look","400×400 mm","Matt","Floor","","","","pedra-cotto.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/026af14af807c520653bada1e15a9ebcca167cd3-6898x6898.jpg","FALSE","109",""
