Name,Slug,Series,Finish,Application,Has Image,Image URL
Fern Light,fern-light,Fern,Glossy,Wall,NO,
Fern Matt Dark,fern-matt-dark,Fern Matt,Matt,Wall,NO,
Fern Matt HL,fern-matt-hl,Fern Matt,Matt,Wall,NO,
Fern Matt Light,fern-matt-light,Fern Matt,Matt,Wall,NO,
Florida Dark,florida-dark,Florida,Glossy,Wall,YES,https://cdn.sanity.io/images/3jv6o4t6/production/7324673717cd01a1ac5e625e47cce76
Florida HL,florida-hl,Florida,Glossy,Wall,YES,https://cdn.sanity.io/images/3jv6o4t6/production/53c3666517503f3fb4959fb614b2ab7
Florida Light,florida-light,Florida,Glossy,Wall,YES,https://cdn.sanity.io/images/3jv6o4t6/production/55d7172a5ff91f1c8606a173648338e
Flowery Dark,flowery-dark,Flowery,Matt,Wall,NO,
Flowery HL 01,flowery-hl-01,Flowery,Matt,Wall,NO,
Flowery HL 02,flowery-hl-02,Flowery,Matt,Wall,NO,
Flowery Light,flowery-light,Flowery,Matt,Wall,NO,
Fusion Dark,fusion-dark,Fusion,Matt,Wall,NO,
Fusion HL,fusion-hl,Fusion,Matt,Wall,NO,
Fusion Light,fusion-light,Fusion,Matt,Wall,NO,
Gabba Dark,gabba-dark,Gabba,Glossy,Wall,NO,
Gabba HL,gabba-hl,Gabba,Glossy,Wall,NO,
Gabba Light,gabba-light,Gabba,Glossy,Wall,NO,
Gem Crema Dark,gem-crema-dark,Gem Crema,Glossy,Wall,NO,
Gem Crema HL,gem-crema-hl,Gem Crema,Glossy,Wall,NO,
Gem Crema Light,gem-crema-light,Gem Crema,Glossy,Wall,NO,
Gem Wood Dark,gem-wood-dark,Gem Wood,Glossy,Wall,NO,
Gem Wood HL,gem-wood-hl,Gem Wood,Glossy,Wall,NO,
Gem Wood Light,gem-wood-light,Gem Wood,Glossy,Wall,NO,
Graffit Dark,graffit-dark,Graffit,Glossy,Wall,NO,
Graffit HL,graffit-hl,Graffit,Glossy,Wall,NO,
Graffit Light,graffit-light,Graffit,Glossy,Wall,NO,
Ivy Dark,ivy-dark,Ivy,Glossy,Wall,NO,
Ivy HL,ivy-hl,Ivy,Glossy,Wall,NO,
Ivy Light,ivy-light,Ivy,Glossy,Wall,NO,
Jewel Dark,jewel-dark,Jewel,Glossy,Wall,NO,
Jewel HL,jewel-hl,Jewel,Glossy,Wall,NO,
Jewel Light,jewel-light,Jewel,Glossy,Wall,NO,
Jewel Matt Dark,jewel-matt-dark,Jewel Matt,Matt,Wall,NO,
Jewel Matt HL,jewel-matt-hl,Jewel Matt,Matt,Wall,NO,
Jewel Matt Light,jewel-matt-light,Jewel Matt,Matt,Wall,NO,
Kettle Dark,kettle-dark,Kettle,Glossy,Wall,YES,https://cdn.sanity.io/images/3jv6o4t6/production/114924a847fae7295449dc189a4b75e
